EPOCH,Random,Hopfield POMDP,DQN,Theta-Omega
0,18,20,43,500
1,16,18,40,500
2,18,57,26,500
3,9,20,32,500
4,20,11,13,500
5,12,13,13,500
6,30,16,12,500
7,15,21,11,500
8,12,13,13,500
9,64,10,15,500
10,25,12,8,500
11,22,39,11,500
12,66,18,9,500
13,17,19,13,500
14,19,14,10,500
15,16,26,10,500
16,12,49,8,500
17,19,26,14,500
18,76,34,16,500
19,31,25,9,500
20,15,21,11,500
21,16,22,12,500
22,20,25,10,500
23,17,12,8,500
24,20,14,10,500
25,14,14,10,500
26,24,15,13,500
27,51,27,9,500
28,14,34,88,500
29,37,8,97,500
30,24,20,56,500
31,13,19,28,500
32,17,34,24,500
33,17,27,41,500
34,45,20,45,500
35,18,34,29,500
36,12,21,30,500
37,28,16,68,500
38,21,12,49,500
39,26,28,34,500
40,16,12,62,500
41,11,26,67,500
42,16,15,87,500
43,20,24,59,500
44,32,20,97,500
45,13,26,69,500
46,19,27,96,500
47,20,29,109,500
48,23,14,184,500
49,15,17,201,500
50,54,29,176,500
51,19,21,139,500
52,10,17,340,500
53,13,34,238,500
54,16,16,283,500
55,15,17,237,500
56,23,14,250,500
57,12,27,374,500
58,13,42,226,500
59,22,17,256,500
60,9,30,419,500
61,72,24,230,500
62,14,11,265,500
63,24,18,280,500
64,15,32,220,500
65,21,34,260,500
66,10,12,234,500
67,44,23,240,500
68,32,18,209,500
69,26,22,500,500
70,29,24,500,500
71,18,16,424,500
72,25,13,212,500
73,19,21,500,500
74,27,16,300,500
75,11,21,269,500
76,11,18,446,500
77,34,16,209,500
78,18,17,203,500
79,11,23,251,500
80,36,13,229,500
81,53,17,203,500
82,20,21,500,500
83,12,18,232,500
84,19,50,360,500
85,10,10,388,500
86,32,20,317,500
87,34,22,184,500
88,11,30,500,500
89,26,32,500,500
90,11,24,306,500
91,14,37,500,500
92,17,26,425,500
93,9,29,464,500
94,35,33,297,500
95,13,21,346,500
96,24,17,105,500
97,34,12,10,500
98,27,22,9,500
99,23,26,11,500
100,10,28,10,500
101,23,33,11,500
102,20,16,10,500
103,28,12,440,500
104,41,17,475,500
105,22,27,500,500
106,22,18,431,500
107,16,12,500,500
108,14,15,179,500
109,24,47,500,500
110,15,22,13,500
111,9,14,500,500
112,19,28,,500
113,35,23,,500
114,9,14,,500
115,16,14,,500
116,11,22,,500
117,17,13,,500
118,34,24,,500
119,27,18,,500
120,10,19,,500
121,19,21,,500
122,13,33,,500
123,11,15,,500
124,26,34,,500
125,12,14,,500
126,31,31,,500
127,15,23,,500
128,23,22,,500
129,15,12,,500
130,49,35,,500
131,19,16,,500
132,34,17,,500
133,59,23,,500
134,12,12,,500
135,20,27,,500
136,114,26,,500
137,18,34,,500
138,60,16,,500
139,26,14,,500
140,22,13,,500
141,12,36,,500
142,29,18,,500
143,14,13,,500
144,15,10,,500
145,20,11,,500
146,23,12,,500
147,14,16,,500
148,50,38,,500
149,25,19,,500
150,29,29,,500
151,10,8,,500
152,18,34,,500
153,28,34,,500
154,19,21,,500
155,33,14,,500
156,30,36,,500
157,21,14,,500
158,19,18,,500
159,53,10,,500
160,22,18,,500
161,16,29,,500
162,19,27,,500
163,73,13,,500
164,28,14,,500
165,18,12,,500
166,26,13,,500
167,22,41,,500
168,30,35,,500
169,15,15,,500
170,31,15,,500
171,16,14,,500
172,24,14,,500
173,10,19,,500
174,10,23,,500
175,14,51,,500
176,19,29,,500
177,18,43,,500
178,16,16,,500
179,15,18,,500
180,12,11,,500
181,66,16,,500
182,41,18,,500
183,13,15,,500
184,13,34,,500
185,15,12,,500
186,19,19,,500
187,21,15,,500
188,13,21,,500
189,14,14,,500
190,14,12,,500
191,13,17,,500
192,11,40,,500
193,12,15,,500
194,12,20,,500
195,20,33,,500
196,11,25,,500
197,11,18,,500
198,20,24,,500
199,46,17,,500
200,11,19,,500
201,11,10,,500
202,30,11,,500
203,11,26,,500
204,28,12,,500
205,20,16,,500
206,25,24,,500
207,25,25,,500
208,13,12,,500
209,21,12,,500
210,34,20,,500
211,21,17,,500
212,25,13,,500
213,21,19,,500
214,17,29,,500
215,13,10,,500
216,12,18,,500
217,35,14,,500
218,35,13,,500
219,11,16,,500
220,36,30,,500
221,17,17,,500
222,15,18,,500
223,24,15,,500
224,12,32,,500
225,13,40,,500
226,22,16,,500
227,21,20,,500
228,11,28,,500
229,24,26,,500
230,26,26,,500
231,18,12,,500
232,30,32,,500
233,20,16,,500
234,25,19,,500
235,15,11,,500
236,13,42,,500
237,20,28,,500
238,23,11,,500
239,29,18,,500
240,26,37,,500
241,10,17,,500
242,29,25,,500
243,16,44,,500
244,19,15,,500
245,14,29,,500
246,32,25,,500
247,16,13,,500
248,13,42,,500
249,13,35,,500
250,40,34,,500
251,12,13,,500
252,12,20,,500
253,13,16,,500
254,10,14,,500
255,14,22,,500
256,19,16,,500
257,12,19,,500
258,46,19,,500
259,30,19,,500
260,14,19,,500
261,15,14,,500
262,35,15,,500
263,14,29,,500
264,52,13,,500
265,27,29,,500
266,15,17,,500
267,30,16,,500
268,20,14,,500
269,17,17,,500
270,10,18,,500
271,13,93,,500
272,19,13,,500
273,17,21,,500
274,20,17,,500
275,51,45,,500
276,33,9,,500
277,8,20,,500
278,38,27,,500
279,21,13,,500
280,50,18,,500
281,38,48,,500
282,33,35,,500
283,30,16,,500
284,16,27,,500
285,29,13,,500
286,31,22,,500
287,25,16,,500
288,42,23,,500
289,32,62,,500
290,17,14,,500
291,18,20,,500
292,10,13,,500
293,12,11,,500
294,36,16,,500
295,10,15,,500
296,23,10,,500
297,17,30,,500
298,13,18,,500
299,71,15,,500
300,30,25,,500
301,12,21,,500
302,28,29,,500
303,16,26,,500
304,13,25,,500
305,31,37,,500
306,16,20,,500
307,26,13,,500
308,36,10,,500
309,15,15,,500
310,9,10,,500
311,12,27,,500
312,11,31,,500
313,34,16,,500
314,13,14,,500
315,31,21,,500
316,10,142,,500
317,10,25,,500
318,17,25,,500
319,23,15,,500
320,29,13,,500
321,52,21,,500
322,16,34,,500
323,13,16,,500
324,29,17,,500
325,17,15,,500
326,28,20,,500
327,17,17,,500
328,16,26,,500
329,17,11,,500
330,33,11,,500
331,21,45,,500
332,28,16,,500
333,15,13,,500
334,29,16,,500
335,26,16,,500
336,67,21,,500
337,21,38,,500
338,14,19,,500
339,16,12,,500
340,13,14,,500
341,25,13,,500
342,42,25,,500
343,24,22,,500
344,11,23,,500
345,25,19,,500
346,18,12,,500
347,38,19,,500
348,21,10,,500
349,22,13,,500
350,11,11,,500
351,16,30,,500
352,14,31,,500
353,31,16,,500
354,22,55,,500
355,40,22,,500
356,16,20,,500
357,9,13,,500
358,11,22,,500
359,10,29,,500
360,15,21,,500
361,13,25,,500
362,15,27,,500
363,14,12,,500
364,31,11,,500
365,16,22,,500
366,27,17,,500
367,13,9,,500
368,12,27,,500
369,21,27,,500
370,21,24,,500
371,15,13,,500
372,44,17,,500
373,28,11,,500
374,18,17,,500
375,28,16,,500
376,11,32,,500
377,23,11,,500
378,10,21,,500
379,64,13,,500
380,39,25,,500
381,17,14,,500
382,10,23,,500
383,27,10,,500
384,17,16,,500
385,14,23,,500
386,49,35,,500
387,35,15,,500
388,20,37,,500
389,27,39,,500
390,45,28,,500
391,33,19,,500
392,11,22,,500
393,20,12,,500
394,16,42,,500
395,14,12,,500
396,24,13,,500
397,18,12,,500
398,19,23,,500
399,16,26,,500
400,22,20,,500
401,30,14,,500
402,14,16,,500
403,12,14,,500
404,13,12,,500
405,12,14,,500
406,17,21,,500
407,22,33,,500
408,28,44,,500
409,10,12,,500
410,32,14,,500
411,16,28,,500
412,14,13,,500
413,45,19,,500
414,41,17,,500
415,21,13,,500
416,39,16,,500
417,15,12,,500
418,45,14,,500
419,13,16,,500
420,39,26,,500
421,10,16,,500
422,14,23,,500
423,9,17,,500
424,24,16,,500
425,19,26,,500
426,14,12,,500
427,37,13,,500
428,15,28,,500
429,9,21,,500
430,9,10,,500
431,11,41,,500
432,12,13,,500
433,14,27,,500
434,18,24,,500
435,26,16,,500
436,14,32,,500
437,17,17,,500
438,23,29,,500
439,14,20,,500
440,26,16,,500
441,57,19,,500
442,10,43,,500
443,18,25,,500
444,15,18,,500
445,14,19,,500
446,29,9,,500
447,17,21,,500
448,21,58,,500
449,26,12,,500
450,17,16,,500
451,15,16,,500
452,43,12,,500
453,19,21,,500
454,15,15,,500
455,23,10,,500
456,10,26,,500
457,15,31,,500
458,51,13,,500
459,11,30,,500
460,15,22,,500
461,29,13,,500
462,26,16,,500
463,18,32,,500
464,24,17,,500
465,13,17,,500
466,22,20,,500
467,24,27,,500
468,20,12,,500
469,19,32,,500
470,21,27,,500
471,16,21,,500
472,18,57,,500
473,11,26,,500
474,17,21,,500
475,16,19,,500
476,12,21,,500
477,50,16,,500
478,22,26,,500
479,13,25,,500
480,40,21,,500
481,23,26,,500
482,21,16,,500
483,15,12,,500
484,41,31,,500
485,12,19,,500
486,25,37,,500
487,13,56,,500
488,13,12,,500
489,11,14,,500
490,12,32,,500
491,13,16,,500
492,49,41,,500
493,24,10,,500
494,40,24,,500
495,17,26,,500
496,24,37,,500
497,56,36,,500
498,13,46,,500
499,24,29,,500